,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Naryan-Mar,RU,67.67,53.09,10.71,93,98,3.53,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,39.2,93,90,24.16,snow
2,Kabompo,ZM,-13.59,24.2,67.89,72,30,5.28,scattered clouds
3,Saint-Philippe,RE,-21.36,55.77,78.8,83,20,4.61,light rain
4,Slatina-Timiş,RO,45.25,22.28,42.22,94,100,3.65,overcast clouds
5,Clyde River,CA,70.47,-68.59,-11.2,70,20,2.3,few clouds
6,San Antonio,CL,-33.59,-71.62,57.2,88,75,6.91,haze
7,Bredasdorp,ZA,-34.53,20.04,64.4,68,16,3.44,few clouds
8,Walvis Bay,NA,-22.96,14.51,80.6,39,14,6.91,few clouds
9,Hermanus,ZA,-34.42,19.23,64.99,77,3,2.48,clear sky
10,Adrar,DZ,25.75,-1.0,97.25,6,100,24.79,overcast clouds
11,Port Elizabeth,ZA,-33.92,25.57,66.2,72,0,14.97,clear sky
12,Jamestown,SH,-15.94,-5.72,71.44,70,76,14.34,broken clouds
13,Rio Grande,BR,-32.03,-52.1,75.2,73,75,12.66,broken clouds
14,Tasiilaq,GL,65.61,-37.64,28.4,54,20,5.75,few clouds
15,Umluj,SA,25.02,37.27,72.43,55,16,22.1,few clouds
16,Qaanaaq,GL,77.48,-69.36,-11.16,83,100,9.01,overcast clouds
17,Letterkenny,IE,54.95,-7.73,50.0,62,0,13.8,clear sky
18,Bīdar,IN,17.9,77.55,88.41,11,44,4.03,scattered clouds
19,Chicama,PE,-7.84,-79.15,71.6,83,74,9.22,fog
20,Altayskoye,RU,51.95,85.33,26.2,84,36,4.65,scattered clouds
21,Henties Bay,NA,-22.12,14.28,64.99,83,4,4.0,clear sky
22,Llata,PE,-9.42,-76.78,57.9,75,99,4.45,overcast clouds
23,Beira,MZ,-19.84,34.84,78.8,69,20,7.61,few clouds
24,Hualmay,PE,-11.1,-77.61,75.33,70,61,9.57,broken clouds
25,Carnarvon,AU,-24.87,113.63,78.8,78,3,14.97,clear sky
26,Bambous Virieux,MU,-20.34,57.76,81.0,89,75,8.05,light rain
27,Shache,CN,38.42,77.24,50.7,38,90,5.61,overcast clouds
28,Paptalaya,HN,15.5,-84.32,86.0,74,40,9.22,scattered clouds
29,Busselton,AU,-33.65,115.33,64.0,80,100,4.0,light rain
30,Āsosa,ET,10.07,34.53,81.18,24,96,5.35,overcast clouds
31,Antofagasta,CL,-23.65,-70.4,73.0,60,20,10.36,few clouds
32,Onega,RU,63.91,38.14,25.3,95,64,1.63,broken clouds
33,East London,ZA,-33.02,27.91,64.4,72,0,6.91,clear sky
34,Port Alfred,ZA,-33.59,26.89,65.12,72,20,16.98,few clouds
35,São José da Coroa Grande,BR,-8.9,-35.15,84.16,66,10,9.42,clear sky
36,Kutum,SD,14.2,24.67,79.25,13,12,12.88,few clouds
37,Luangwa,ZM,-15.62,30.42,72.43,71,11,1.19,few clouds
38,Dikson,RU,73.51,80.55,-19.14,83,34,5.77,scattered clouds
39,Mar del Plata,AR,-38.0,-57.56,77.0,57,40,9.22,scattered clouds
40,Tazovsky,RU,67.47,78.7,16.93,95,96,12.24,light snow
41,Merowe,SD,18.48,31.82,81.99,8,2,14.43,clear sky
42,Tchaourou,BJ,8.89,2.6,98.62,12,21,4.52,few clouds
43,Le Port,RE,-20.94,55.29,77.0,73,0,5.75,light rain
44,Kodīnar,IN,20.79,70.7,78.46,78,3,8.7,clear sky
45,Nicoya,CR,10.15,-85.45,89.6,37,0,25.32,clear sky
46,Souillac,MU,-20.52,57.52,80.6,89,75,8.05,light rain
47,General Roca,AR,-39.03,-67.58,78.8,50,0,3.44,clear sky
48,Saint George,BM,32.38,-64.68,66.2,59,40,24.16,scattered clouds
49,Jerusalen,CO,2.99,-75.67,58.03,84,100,4.07,overcast clouds
50,Vila Franca do Campo,PT,37.72,-25.43,60.8,88,75,20.71,broken clouds
51,Praia,CV,14.92,-23.51,86.0,25,0,16.11,clear sky
52,Mahébourg,MU,-20.41,57.7,80.6,89,75,8.05,light rain
53,Baijiantan,CN,45.63,85.18,47.77,29,88,7.56,overcast clouds
54,Lüderitz,NA,-26.65,15.16,74.25,52,0,18.01,clear sky
55,Camopi,GF,3.17,-52.32,81.23,84,77,4.12,broken clouds
56,Aleksandrov Gay,RU,50.15,48.57,45.79,69,28,9.95,scattered clouds
57,Sikonge,TZ,-5.63,32.77,80.6,57,40,6.91,light rain
58,Bubaque,GW,11.28,-15.83,76.53,79,62,12.64,broken clouds
59,Jumla,NP,29.27,82.18,39.76,23,18,4.09,few clouds
60,General Pico,AR,-35.66,-63.76,78.1,46,8,12.12,clear sky
61,Severnyy,RU,50.68,36.55,41.0,60,0,6.71,clear sky
62,Leesburg,US,39.12,-77.56,50.0,36,1,4.61,clear sky
63,Tocopilla,CL,-22.09,-70.2,72.43,68,30,7.49,scattered clouds
64,Harper,LR,4.38,-7.72,83.57,70,77,7.63,broken clouds
65,Chui,UY,-33.7,-53.46,75.02,51,56,10.25,broken clouds
66,Lødingen,NO,68.41,16.0,39.99,93,75,23.02,light rain
