City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Alfred,-33.5906,26.891,60.96,83,24,10.65,ZA,2021-04-02 23:04:10
1,Albany,42.6001,-73.9662,37.0,27,100,1.01,US,2021-04-02 23:04:07
2,Qaanaaq,77.484,-69.3632,-20.47,83,100,8.01,GL,2021-04-02 23:04:07
3,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
4,Ximei,24.9639,118.3794,68.0,100,90,4.47,CN,2021-04-02 23:04:08
5,Lata,40.1629,-8.3327,57.0,94,45,0.56,PT,2021-04-02 23:04:08
6,Bredasdorp,-34.5322,20.0403,48.2,93,46,4.61,ZA,2021-04-02 23:04:09
7,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
8,Dakar,14.6937,-17.4441,69.8,78,19,3.44,SN,2021-04-02 22:59:33
9,Ribeira Grande,38.5167,-28.7,61.66,81,99,24.74,PT,2021-04-02 23:04:12
10,Neiafu,-18.65,-173.9833,86.0,70,40,8.05,TO,2021-04-02 23:01:12
11,Hasaki,35.7333,140.8333,61.0,67,20,4.61,JP,2021-04-02 23:04:12
12,Cairns,-16.9167,145.7667,79.0,69,40,14.97,AU,2021-04-02 23:04:12
13,Sassandra,4.95,-6.0833,79.14,88,52,7.36,CI,2021-04-02 23:04:13
14,Tuktoyaktuk,69.4541,-133.0374,-13.0,70,75,6.91,CA,2021-04-02 23:04:13
15,Palkonda,18.6,83.75,82.24,73,83,4.52,IN,2021-04-02 23:04:13
16,Kushiro,42.975,144.3747,37.4,100,75,4.61,JP,2021-04-02 23:04:14
17,Kongolo,-5.3833,27.0,70.0,94,97,1.74,CD,2021-04-02 23:04:14
18,Saldanha,-33.0117,17.9442,60.8,67,33,3.44,ZA,2021-04-02 23:04:14
19,Mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,2021-04-02 23:04:15
20,Bluff,-46.6,168.3333,51.01,80,94,4.0,NZ,2021-04-02 23:04:15
21,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
22,Geraldton,-28.7667,114.6,69.8,88,40,9.22,AU,2021-04-02 23:04:15
23,Agadir,30.4202,-9.5982,60.8,88,0,6.85,MA,2021-04-02 23:04:16
24,Fort Nelson,58.8053,-122.7002,28.4,43,40,3.44,CA,2021-04-02 23:00:17
25,Amalfi,6.9102,-75.0776,62.08,98,100,1.99,CO,2021-04-02 23:04:16
26,Mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,2021-04-02 23:04:15
27,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
28,Kieta,-6.2167,155.6333,84.18,71,80,3.36,PG,2021-04-02 23:04:17
29,Carnarvon,-24.8667,113.6333,77.0,94,41,8.05,AU,2021-04-02 23:04:17
30,Sigulda,57.1519,24.8647,32.0,95,51,1.99,LV,2021-04-02 23:04:17
31,Margate,51.3813,1.3862,44.01,76,63,5.99,GB,2021-04-02 22:59:33
32,Bilibino,68.0546,166.4372,0.05,79,100,7.85,RU,2021-04-02 23:04:18
33,Kaitangata,-46.2817,169.8464,54.0,61,89,4.0,NZ,2021-04-02 23:04:18
34,Castro,-24.7911,-50.0119,58.33,82,4,3.27,BR,2021-04-02 23:04:18
35,Nikolskoye,59.7035,30.7861,35.01,93,20,4.47,RU,2021-04-02 23:04:18
36,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
37,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
38,Albany,42.6001,-73.9662,37.0,27,100,1.01,US,2021-04-02 23:04:07
39,Longyearbyen,78.2186,15.6401,21.2,73,75,9.22,SJ,2021-04-02 23:03:10
40,Nikolskoye,59.7035,30.7861,35.01,93,20,4.47,RU,2021-04-02 23:04:18
41,Skibbereen,51.55,-9.2667,42.8,93,20,3.44,IE,2021-04-02 23:04:19
42,Bojnurd,37.4747,57.329,59.0,36,0,2.3,IR,2021-04-02 23:02:32
43,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
44,Shanting,35.0753,117.4578,48.61,84,100,12.19,CN,2021-04-02 23:04:20
45,Port Elizabeth,-33.918,25.5701,59.0,82,20,6.91,ZA,2021-04-02 23:02:18
46,Hurghada,27.2574,33.8129,63.52,38,0,14.72,EG,2021-04-02 23:04:20
47,Carnarvon,-24.8667,113.6333,77.0,94,41,8.05,AU,2021-04-02 23:04:17
48,Plouzane,48.3833,-4.6167,44.6,81,0,17.27,FR,2021-04-02 23:04:21
49,Codrington,-38.2667,141.9667,74.62,33,0,15.55,AU,2021-04-02 23:04:21
50,Sitka,57.0531,-135.33,37.4,87,90,10.36,US,2021-04-02 23:04:09
51,Kolyvan,55.3053,82.7391,34.0,75,90,13.42,RU,2021-04-02 23:04:21
52,Pevek,69.7008,170.3133,-8.32,86,9,1.72,RU,2021-04-02 23:04:22
53,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
54,Saint-Pierre,-21.3393,55.4781,77.0,94,75,16.11,RE,2021-04-02 23:04:22
55,Tuktoyaktuk,69.4541,-133.0374,-13.0,70,75,6.91,CA,2021-04-02 23:04:13
56,Rodeo,38.033,-122.2669,78.8,13,1,11.5,US,2021-04-02 23:04:22
57,Westport,41.1415,-73.3579,36.0,38,90,4.61,US,2021-04-02 23:04:23
58,Jamestown,42.097,-79.2353,34.0,43,1,10.36,US,2021-04-02 23:04:23
59,Bandarbeyla,9.4942,50.8122,76.91,78,7,4.09,SO,2021-04-02 23:04:23
60,Guerrero Negro,27.9769,-114.0611,66.42,61,0,20.67,MX,2021-04-02 23:04:24
61,Hermanus,-34.4187,19.2345,60.01,78,69,3.0,ZA,2021-04-02 23:04:24
62,Port Elizabeth,-33.918,25.5701,59.0,82,20,6.91,ZA,2021-04-02 23:02:18
63,Mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,2021-04-02 23:04:15
64,Iqaluit,63.7506,-68.5145,-5.8,65,1,2.44,CA,2021-04-02 23:01:15
65,Moron,-34.6534,-58.6198,70.0,71,22,5.99,AR,2021-04-02 23:04:25
66,Esperance,-33.8667,121.9,64.4,88,90,10.36,AU,2021-04-02 23:04:25
67,Busselton,-33.65,115.3333,63.0,83,100,1.99,AU,2021-04-02 23:04:26
68,Avarua,-21.2078,-159.775,84.2,74,34,13.8,CK,2021-04-02 23:04:26
69,Sabang,5.8933,95.3214,83.34,72,100,16.24,ID,2021-04-02 23:04:26
70,Constitucion,-35.3333,-72.4167,57.43,83,25,13.58,CL,2021-04-02 23:04:26
71,Kavieng,-2.5744,150.7967,84.87,73,99,9.82,PG,2021-04-02 23:04:27
72,East London,-33.0153,27.9116,62.82,79,78,14.27,ZA,2021-04-02 23:04:27
73,Wanning,18.8003,110.3967,74.98,94,27,4.72,CN,2021-04-02 23:04:28
74,Sorland,67.667,12.6934,37.49,61,100,17.45,NO,2021-04-02 23:04:28
75,Terrace,54.5163,-128.6035,37.4,93,90,6.91,CA,2021-04-02 23:04:19
76,Nandu,22.8525,110.8233,74.12,81,0,1.54,CN,2021-04-02 23:01:40
77,Cherskiy,68.75,161.3,3.31,72,100,5.7,RU,2021-04-02 23:04:29
78,Asyut,27.181,31.1837,59.56,36,0,5.73,EG,2021-04-02 23:04:29
79,Fort Smith,35.3859,-94.3986,66.0,24,40,10.36,US,2021-04-02 23:03:48
80,Bethel,41.3712,-73.414,33.01,52,100,8.81,US,2021-04-02 23:04:29
81,Kieta,-6.2167,155.6333,84.18,71,80,3.36,PG,2021-04-02 23:04:17
82,Albany,42.6001,-73.9662,37.0,27,100,1.01,US,2021-04-02 23:04:07
83,Ponta Do Sol,32.6667,-17.1,62.6,67,40,6.91,PT,2021-04-02 23:04:30
84,Cayenne,4.9333,-52.3333,78.01,94,0,1.14,GF,2021-04-02 23:04:30
85,Laguna,38.421,-121.4238,82.99,12,1,8.05,US,2021-04-02 23:04:31
86,Hobart,-42.8794,147.3294,75.99,46,0,10.36,AU,2021-04-02 23:00:21
87,Hermanus,-34.4187,19.2345,60.01,78,69,3.0,ZA,2021-04-02 23:04:24
88,Port Alfred,-33.5906,26.891,60.96,83,24,10.65,ZA,2021-04-02 23:04:10
89,Ust-Karsk,52.7011,118.8077,22.95,60,1,3.13,RU,2021-04-02 23:04:31
90,Port Lincoln,-34.7333,135.8667,75.24,36,0,10.45,AU,2021-04-02 23:04:32
91,Cape Town,-33.9258,18.4232,64.0,72,0,4.61,ZA,2021-04-02 22:59:59
92,Hermanus,-34.4187,19.2345,60.01,78,69,3.0,ZA,2021-04-02 23:04:24
93,Ribeira Grande,38.5167,-28.7,61.66,81,99,24.74,PT,2021-04-02 23:04:12
94,Port Alfred,-33.5906,26.891,60.96,83,24,10.65,ZA,2021-04-02 23:04:10
95,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
96,Douglas,41.3,-96.167,75.2,17,1,18.41,US,2021-04-02 23:01:13
97,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
